text,paragraph_id,question,person,keywords,sentiment
"The proportion of red, amber and green is not materially out of kilter with the IPA's reviews of more conventional programmes in terms of infrastructure and construction, Government transformation and IT delivery.",279,Q100,David Williams,"proportion of red, amber and green, IPA's reviews, infrastructure and construction, Government transformation, IT delivery",5
"Mr Williams, forgive me. We understand that, but we are not going to deter Vladimir Putin with HS2, whether we have the extra leg or not.",280,Q101,Mr Francois,"Mr Williams, apology 
deterrence of Vladimir Putin 
HS2 
extra leg",I would rate the sentiment expressed in the paragraph a 5.
"Let us come back to this point. The definition of amber---most of them are amber---is, ""Delivery appears feasible but significant issues already exist, requiring management attention"". That is still something to worry about. Red, for the record, means, ""Successful delivery appears to be unachievable"".",281,Q101,Mr Francois,"- Definition of amber
- Feasibility of delivery
- Significant issues
- Management attention
- Concerns
- Definition of red
- Unachievable successful delivery",I would rate the sentiment expressed in the paragraph as a 5.
"The red projects include the future combat air system, GCAP, Tempest, which is embarrassing, the core production capability for nuclear submarine reactors, which is embarrassing, MODNet Evolve---okay, that is still embarrassing---the Brimstone 3 air-to-surface weapon and the SPEAR cap 3 air-to-air weapon.",282,Q101,Mr Francois,"red projects, future combat air system, GCAP, Tempest, core production capability for nuclear submarine reactors, MODNet Evolve, Brimstone 3 air-to-surface weapon, SPEAR cap 3 air-to-air weapon, embarrassing.",I would rate the sentiment expressed in the paragraph as a 3.
"We have just signed a treaty with the Japanese and the Italians for the future combat air system, and yet the Government's own auditor says the programme is red.",283,Q101,Mr Francois,"treaty with Japanese and Italians, future combat air system, Government's auditor, programme being red",4
"We should just be clear. The IPA is not quite an auditor. I know you are using shorthand, Mr Francois.",284,Q101,Chair,"clarification, role of IPA, shorthand, addressing Mr Francois",I would rate the sentiment expressed in the paragraph as a 5.
They are the programme delivery experts in Government.,285,Q101,David Williams,"programme delivery experts, Government","I would rate the sentiment expressed in the paragraph as a 7.5 on the scale. It conveys a positive sentiment about the abilities and expertise of the individuals being referred to as ""programme delivery experts."" However, it does not reach the highest level of positivity."
"Red means, ""Successful delivery appears to be unachievable"". We just signed an international treaty with two other nations. That is a bit embarrassing, is it not?",286,Q101,Mr Francois,"Failure of successful delivery, International treaty, Embarrassment",I would rate the sentiment expressed in the paragraph a 5.
"Colleagues may want to come in on the detail, particularly General Rob on GCAP. This is about the degree of difficulty in delivering against the planned 2035 in-service date.",287,Q101,David Williams,"Colleagues' interest in detail, General Rob's perspective on GCAP, Degree of difficulty in delivering against the planned 2035 in-service date.",8
"There are examples---you will ask me now to give you one, and I will probably have to write to you---of programmes that are rated red, which, as a result of intervention, re-scoping or throwing additional resource at them, you can recover from red to amber.",288,Q101,David Williams,"examples of programmes rated red, intervention, re-scoping, additional resource, recovering from red to amber","I would rate the sentiment expressed in the paragraph as a 7.5. The statement is generally positive, as it discusses the possibility of recovering red-rated programs to an amber rating through intervention and additional resources. However, the use of phrases like ""you will ask me now to give you one"" and ""I will probably have to write to you"" may slightly dampen the overall positive tone."
"David, I am sorry. I will save you a letter. F-35 was red last year, from memory.",289,Q102,Mr Francois,"apology, saving a letter, F-35, color change",I would rate the sentiment expressed in the paragraph as a 5.
"Thank you, yes.",290,Q102,David Williams,"expressing gratitude, agreement",I would rate the sentiment expressed in the paragraph as a 6.
"It is now amber. That is right, is it not? There is still a long way to go, as Dame Meg was saying, but F-35 is slowly going in the right direction and not the wrong direction, is it not, General?",291,Q102,Mr Francois,"color change (amber), affirmation, progress, F-35 direction, affirmation (F-35 going in the right direction), negation (F-35 not going in the wrong direction), addressing General",5
